PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,USG_PCT,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,TS_PCT,EFG_PCT,AST,TOV,AST_PCT,AST_TO,TM_TOV_PCT,REB,OREB_PCT,DREB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PLUS_MINUS,PIE,PACE,VOLUME_SCORE,FG3A_RATE,FTA_RATE,EXPECTED_TS,TS_ABOVE_EXPECTED,TS_PCT_SCALED,TS_ABOVE_EXPECTED_SCALED,EFFICIENCY_SCORE,AVG_SHOT_DISTANCE,PCT_PULLUP,PCT_LATE_CLOCK,PCT_MIDRANGE,PCT_RESTRICTED_HARD,PCT_RESTRICTED_EASY,TOTAL_SHOTS,SHOT_DIFFICULTY_SCORE,TS_X_DIFFICULTY,TS_X_DIFFICULTY_SCALED,EFFICIENCY_SCORE_SCALED,DIFFICULTY_ADJ_EFFICIENCY
1641765,Olivier-Maxence Prosper,MEM,23.0,53,18.6,0.183,10.0,3.6,6.6,0.549,1.1,2.8,0.405,1.6,2.2,0.754,0.662,0.634,1.0,0.9,0.077,1.09,9.5,3.5,0.057,0.127,110.7,120.4,-9.7,-3.9,0.103,104.7,29.1,0.4242424242424242,0.3333333333333333,0.5931638906705105,0.0688361093294895,0.6857142857142857,0.7142068135011151,69.7,10.412698412698413,0.12698412698412698,0.031746031746031744,0.031746031746031744,0.30158730158730157,0.015873015873015872,63.0,50.2,0.332324,0.5509761172501264,0.6970000000000001,62.4
1630168,Onyeka Okongwu,ATL,25.0,74,31.0,0.189,15.2,5.6,11.6,0.48,1.9,5.2,0.376,2.1,2.7,0.757,0.592,0.564,3.1,1.7,0.14,1.82,9.7,7.6,0.058,0.178,113.4,111.3,2.1,1.5,0.104,104.39,46.5,0.4482758620689655,0.2327586206896552,0.5731054965266436,0.0188945034733564,0.4857142857142855,0.5481211592102528,51.1,12.632567849686847,0.07933194154488518,0.018789144050104383,0.006263048016701462,0.1336116910229645,0.07933194154488518,479.0,38.3,0.22673599999999997,0.3759166383433777,0.511,44.3
1631131,Oscar Tshiebwe,UTA,26.0,27,16.6,0.162,7.8,3.4,5.4,0.634,0.0,0.0,0.0,1.0,1.8,0.551,0.633,0.634,1.2,0.8,0.101,1.52,9.6,6.6,0.151,0.224,110.9,118.9,-8.0,-2.9,0.125,104.74,20.9,0.0,0.3333333333333333,0.5985136398336721,0.0344863601663278,0.6028571428571428,0.5999733909530875,60.2,3.5,0.0,0.0,0.0,0.0,0.25,4.0,8.0,0.050640000000000004,0.0839585181255233,0.6020000000000001,34.3
1642345,Oso Ighodaro,PHX,23.0,82,22.1,0.12,6.5,2.9,4.5,0.653,0.0,0.0,0.0,0.6,1.4,0.453,0.636,0.653,2.3,1.2,0.139,1.83,14.4,5.1,0.071,0.158,114.8,109.7,5.1,2.0,0.09,98.44,21.5,0.0,0.3111111111111111,0.5988614530607465,0.0371385469392535,0.6114285714285714,0.6087934953116028,61.0,4.143884892086331,0.04316546762589928,0.02877697841726619,0.007194244604316547,0.302158273381295,0.14388489208633093,139.0,31.1,0.197796,0.3279356052755925,0.61,46.9
1631172,Ousmane Dieng,MIL,22.0,57,19.3,0.192,7.6,2.9,7.0,0.422,1.1,3.2,0.341,0.6,0.8,0.711,0.516,0.501,2.4,1.3,0.185,1.81,11.9,3.2,0.026,0.136,108.7,117.3,-8.6,-3.7,0.075,99.84,29.3,0.4571428571428572,0.1142857142857143,0.5500625555657076,-0.0340625555657075,0.2685714285714287,0.3720073228798853,31.0,16.95,0.31666666666666665,0.0,0.08333333333333333,0.05,0.03333333333333333,60.0,61.0,0.31476,0.5218559076854208,0.31,41.6
1629023,P.J. Washington,DAL,27.0,56,31.0,0.194,14.2,5.3,11.8,0.45,1.4,4.2,0.325,2.2,3.3,0.687,0.537,0.508,1.8,1.7,0.082,1.04,10.1,7.0,0.045,0.162,107.0,114.4,-7.3,-4.9,0.093,103.86,46.8,0.3559322033898305,0.2796610169491525,0.5821897816080953,-0.0451897816080952,0.3285714285714287,0.3350026534061798,33.1,11.942598187311178,0.1510574018126888,0.015105740181268883,0.0513595166163142,0.14501510574018128,0.06042296072507553,331.0,45.6,0.24487200000000003,0.4059851945188219,0.331,36.8
1631094,Paolo Banchero,ORL,23.0,72,34.7,0.274,22.2,7.3,16.0,0.459,1.2,3.8,0.305,6.3,8.2,0.775,0.566,0.496,5.2,3.1,0.235,1.68,11.0,8.4,0.034,0.204,114.0,114.1,-0.2,0.0,0.138,100.96,73.3,0.2375,0.5125,0.618802942329274,-0.052802942329274,0.4114285714285712,0.3096843490000112,37.1,10.69515011547344,0.3533487297921478,0.013856812933025405,0.18475750577367206,0.21247113163972287,0.018475750577367205,433.0,70.0,0.39619999999999994,0.6568792433122497,0.371,51.4
1627783,Pascal Siakam,IND,32.0,62,33.2,0.292,24.0,9.0,18.6,0.484,1.7,4.7,0.358,4.2,6.1,0.693,0.562,0.529,3.8,2.2,0.19,1.71,8.2,6.6,0.041,0.151,111.5,117.2,-5.6,-3.7,0.13,102.95,74.4,0.2526881720430107,0.3279569892473117,0.5814409865533468,-0.0194409865533466,0.4000000000000001,0.4206327688291514,40.8,11.914285714285715,0.30142857142857143,0.015714285714285715,0.16857142857142857,0.14857142857142858,0.03857142857142857,700.0,64.0,0.35968000000000006,0.5963309597035589,0.408,50.2
1630311,Pat Spencer,GSW,29.0,66,18.6,0.185,7.2,2.8,6.6,0.427,0.9,2.5,0.357,0.7,0.9,0.772,0.516,0.495,3.5,1.3,0.27,2.73,10.9,2.4,0.041,0.091,112.1,115.6,-3.4,-1.4,0.087,99.81,28.4,0.3787878787878788,0.1363636363636363,0.5556133099433183,-0.0396133099433182,0.2685714285714287,0.3535477508094746,30.3,11.7578125,0.4296875,0.0390625,0.1171875,0.1484375,0.0234375,128.0,72.3,0.373068,0.6185275758304251,0.303,46.1
1630172,Patrick Williams,CHI,24.0,72,20.5,0.159,7.0,2.5,6.6,0.372,1.3,3.8,0.347,0.8,1.0,0.72,0.494,0.472,1.5,1.0,0.101,1.4,10.9,3.0,0.03,0.106,103.8,114.8,-11.0,-4.8,0.057,105.67,26.9,0.5757575757575758,0.1515151515151515,0.559938797938427,-0.065938797938427,0.2057142857142857,0.265999787077809,23.0,15.72645739910314,0.21524663677130046,0.017937219730941704,0.05829596412556054,0.14798206278026907,0.04484304932735426,223.0,56.7,0.280098,0.46438809261300995,0.23,34.7
202331,Paul George,PHI,36.0,37,30.7,0.229,17.3,6.1,13.9,0.439,2.7,6.9,0.392,2.5,3.0,0.82,0.57,0.536,3.6,1.7,0.175,2.08,8.5,5.3,0.017,0.147,115.0,111.4,3.6,2.4,0.117,100.33,51.9,0.4964028776978417,0.2158273381294964,0.5651446324613972,0.0048553675386027,0.4228571428571426,0.5014326509528522,45.4,17.21285140562249,0.3895582329317269,0.008032128514056224,0.23694779116465864,0.09236947791164658,0.01606425702811245,249.0,79.1,0.45086999999999994,0.7475192943770671,0.454,60.1
1630194,Paul Reed,DET,26.0,65,13.9,0.2,7.8,3.2,5.2,0.617,0.2,0.6,0.325,1.1,1.7,0.664,0.65,0.636,1.2,0.9,0.134,1.38,11.0,4.5,0.142,0.176,112.5,104.4,8.1,2.1,0.153,101.72,26.7,0.1153846153846153,0.3269230769230769,0.5922993981762601,0.0577006018237399,0.6514285714285715,0.6771746032177505,66.2,7.801587301587301,0.1111111111111111,0.007936507936507936,0.09523809523809523,0.1746031746031746,0.1349206349206349,126.0,38.8,0.2522,0.41813464200744416,0.662,54.0
1630202,Payton Pritchard,BOS,28.0,79,32.3,0.21,17.0,6.4,13.8,0.464,2.7,7.1,0.377,1.5,1.7,0.89,0.584,0.561,5.2,1.4,0.234,3.74,6.5,3.9,0.026,0.09,120.1,112.1,8.0,5.4,0.12,95.81,51.8,0.5144927536231884,0.1231884057971014,0.5493822324432127,0.0346177675567872,0.4628571428571426,0.6004103989757364,51.8,18.373358348968104,0.4803001876172608,0.03377110694183865,0.13320825515947468,0.06191369606003752,0.013133208255159476,533.0,82.0,0.4788799999999999,0.7939584352280922,0.518,65.6
