PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,USG_PCT,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,TS_PCT,EFG_PCT,AST,TOV,AST_PCT,AST_TO,TM_TOV_PCT,REB,OREB_PCT,DREB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PLUS_MINUS,PIE,PACE,VOLUME_SCORE,FG3A_RATE,FTA_RATE,EXPECTED_TS,TS_ABOVE_EXPECTED,TS_PCT_SCALED,TS_ABOVE_EXPECTED_SCALED,EFFICIENCY_SCORE
1630543,Isaiah Jackson,LAC,24.0,55,16.5,0.152,6.7,2.7,4.3,0.637,0.0,0.1,0.0,1.2,1.9,0.648,0.653,0.637,0.9,1.1,0.083,0.9,14.8,5.3,0.12,0.19,111.8,114.7,-2.9,-0.9,0.104,102.07,20.5,0.023255813953488375,0.4418604651162791,0.6201900734806738,0.03280992651932624,0.6599999999999999,0.594398248256644,63.4
1630198,Isaiah Joe,OKC,26.0,71,21.2,0.178,11.1,3.5,7.6,0.455,2.5,6.0,0.423,1.5,1.7,0.894,0.657,0.622,1.3,0.6,0.089,2.09,6.2,2.5,0.022,0.09,116.9,105.2,11.7,5.0,0.099,101.43,32.1,0.7894736842105263,0.2236842105263158,0.5701202179370878,0.08687978206291225,0.6714285714285715,0.7742127972969419,71.3
1630191,Isaiah Stewart,DET,25.0,58,22.7,0.164,10.0,3.8,6.9,0.55,0.7,2.1,0.333,1.7,2.3,0.756,0.632,0.6,1.1,1.2,0.073,0.99,11.3,5.0,0.07,0.135,112.8,111.0,1.8,0.7,0.095,101.0,30.1,0.30434782608695654,0.3333333333333333,0.596105634070751,0.035894365929248995,0.5999999999999999,0.6046558506852336,60.2
1627826,Ivica Zubac,IND,29.0,48,30.1,0.186,14.1,6.0,10.0,0.598,0.0,0.0,0.0,2.1,3.0,0.711,0.622,0.598,2.2,1.8,0.11,1.22,11.7,10.6,0.117,0.234,115.6,117.9,-2.4,-1.0,0.13,97.51,41.7,0.0,0.3,0.5895140771714105,0.03248592282858953,0.5714285714285714,0.5933207425568137,58.0
1629630,Ja Morant,MEM,26.0,20,28.4,0.305,19.5,6.6,16.1,0.41,1.0,4.3,0.235,5.3,5.9,0.897,0.521,0.441,8.1,3.6,0.447,2.27,11.7,3.3,0.013,0.096,109.5,113.9,-4.4,-2.5,0.128,106.6,66.0,0.26708074534161486,0.3664596273291925,0.5872760643318279,-0.06627606433182787,0.2828571428571429,0.2648781749738719,27.6
1642266,Ja'Kobe Walter,TOR,21.0,72,20.5,0.136,7.5,2.5,5.6,0.446,1.5,3.7,0.409,1.0,1.3,0.789,0.61,0.582,1.2,0.5,0.079,2.32,6.5,2.6,0.037,0.088,111.6,110.7,0.9,0.0,0.069,100.83,23.2,0.6607142857142858,0.23214285714285718,0.5772600542506873,0.032739945749312716,0.5371428571428571,0.594165520418277,56.0
1631095,Jabari Smith Jr.,HOU,23.0,77,35.1,0.179,15.8,5.7,12.7,0.449,2.3,6.3,0.363,2.1,2.7,0.775,0.569,0.54,1.9,1.4,0.073,1.36,8.0,6.9,0.039,0.152,117.0,112.0,5.0,3.4,0.093,97.66,49.4,0.49606299212598426,0.21259842519685043,0.5700017425883147,-0.001001742588314758,0.41999999999999993,0.4819542631235738,44.5
1630702,Jaden Hardy,WAS,23.0,57,15.8,0.239,9.2,3.2,7.5,0.424,1.8,4.6,0.397,1.0,1.3,0.733,0.566,0.545,1.0,1.1,0.095,0.94,10.6,1.5,0.017,0.078,112.0,116.4,-4.4,-1.5,0.066,103.45,34.5,0.6133333333333333,0.17333333333333334,0.5550847386370242,0.010915261362975714,0.41142857142857125,0.5215854156367404,45.5
1631093,Jaden Ivey,CHI,24.0,37,18.1,0.192,8.5,3.1,6.9,0.445,1.4,3.6,0.373,1.0,1.3,0.809,0.571,0.543,1.8,1.1,0.145,1.66,10.6,2.5,0.034,0.096,110.3,108.2,2.1,0.7,0.091,101.98,27.7,0.5217391304347826,0.18840579710144928,0.5637689478218193,0.0072310521781806525,0.4257142857142855,0.5093332206479814,45.9
1630183,Jaden McDaniels,MIN,25.0,73,31.7,0.182,14.8,5.7,11.1,0.515,1.4,3.4,0.412,2.0,2.4,0.835,0.611,0.579,2.7,1.8,0.121,1.52,10.8,4.2,0.033,0.094,115.5,112.4,3.1,1.6,0.088,102.0,44.8,0.3063063063063063,0.21621621621621623,0.5717299979652974,0.039270002034702545,0.54,0.6158818559690278,57.0
1642942,Jahmai Mashack,MEM,23.0,31,21.7,0.156,6.2,2.5,6.3,0.395,0.6,2.4,0.253,0.6,1.1,0.543,0.456,0.444,2.2,1.6,0.141,1.41,14.9,2.6,0.031,0.086,106.2,120.7,-14.5,-6.8,0.041,104.0,23.7,0.38095238095238093,0.17460317460317462,0.5660825214344447,-0.11008252143444469,0.0971428571428572,0.11919555293301082,10.6
1631170,Jaime Jaquez Jr.,MIA,25.0,75,28.3,0.216,15.4,6.2,12.2,0.507,0.8,2.4,0.317,2.2,2.9,0.769,0.57,0.539,4.7,2.0,0.24,2.32,10.1,5.0,0.042,0.117,114.7,111.9,2.9,1.9,0.113,105.49,49.4,0.19672131147540983,0.2377049180327869,0.5729056906685535,-0.0029056906685535067,0.4228571428571426,0.4756224991119556,44.4
1631222,Jake LaRavia,LAL,24.0,82,25.1,0.138,8.2,2.9,6.4,0.459,1.0,3.0,0.321,1.4,1.9,0.763,0.571,0.533,1.8,1.1,0.093,1.67,10.6,4.0,0.059,0.103,116.1,116.1,0.0,-0.1,0.067,100.51,28.9,0.46875,0.29687499999999994,0.5907980851158527,-0.019798085115852793,0.4257142857142855,0.41944520292326115,42.3
1627751,Jakob Poeltl,TOR,30.0,46,25.0,0.15,10.7,4.7,6.7,0.7,0.0,0.0,0.0,1.3,2.1,0.602,0.698,0.7,2.0,1.2,0.111,1.63,11.3,7.0,0.102,0.188,114.7,112.6,2.0,1.0,0.115,100.36,28.1,0.0,0.31343283582089554,0.5960221428822907,0.10197785711770924,0.7885714285714285,0.8244229103083671,80.3
1628973,Jalen Brunson,NYK,29.0,74,35.0,0.296,26.0,9.3,19.9,0.467,2.6,7.1,0.369,4.8,5.7,0.841,0.58,0.533,6.8,2.4,0.307,2.87,7.5,3.3,0.012,0.083,120.2,114.1,6.1,4.8,0.135,98.25,78.1,0.35678391959798994,0.2864321608040201,0.5723153478080711,0.00768465219192882,0.4514285714285713,0.5108417114900006,47.5
1631105,Jalen Duren,DET,22.0,70,28.2,0.231,19.5,7.5,11.5,0.65,0.0,0.0,0.0,4.6,6.1,0.747,0.688,0.65,2.0,1.9,0.104,1.06,10.3,10.5,0.132,0.23,120.0,108.2,11.8,6.9,0.177,100.81,54.6,0.0,0.5304347826086956,0.6286461155950129,0.05935388440498701,0.7599999999999998,0.6826727547995219,72.9
1630224,Jalen Green,PHX,24.0,32,25.9,0.309,17.8,6.8,16.0,0.422,2.2,7.1,0.313,2.0,2.7,0.747,0.516,0.491,2.8,2.3,0.181,1.26,10.1,3.6,0.017,0.122,114.2,113.5,0.7,1.0,0.106,99.56,61.0,0.44375,0.16875,0.5477674349073377,-0.03176743490733769,0.2685714285714287,0.3796399692413164,31.3
1630552,Jalen Johnson,ATL,24.0,72,35.2,0.264,22.5,8.3,17.1,0.489,1.7,4.7,0.352,4.2,5.3,0.788,0.581,0.537,7.9,3.4,0.325,2.32,11.1,10.3,0.038,0.241,115.5,112.3,3.2,2.6,0.161,103.58,69.6,0.27485380116959063,0.30994152046783624,0.5809014949578793,9.850504212061129e-05,0.4542857142857142,0.4856132433355685,46.7
1629618,Jalen Pickett,DEN,26.0,50,16.1,0.148,5.2,2.0,4.6,0.422,1.0,2.5,0.386,0.3,0.4,0.789,0.541,0.528,2.3,0.7,0.208,3.38,8.8,2.3,0.022,0.107,112.1,112.4,-0.4,0.1,0.084,97.97,17.6,0.5434782608695653,0.08695652173913045,0.5490318500081325,-0.008031850008132446,0.3400000000000001,0.45857495902352197,38.7
1630188,Jalen Smith,CHI,26.0,53,20.7,0.183,10.2,3.7,7.6,0.483,1.5,4.2,0.373,1.3,1.8,0.742,0.608,0.584,1.2,1.0,0.081,1.23,9.4,6.7,0.085,0.218,116.4,113.0,3.4,1.6,0.109,103.79,31.1,0.5526315789473685,0.2368421052631579,0.5737922442145036,0.034207755785496397,0.5314285714285714,0.5990468650617897,55.8
1630591,Jalen Suggs,ORL,24.0,57,27.6,0.22,13.8,4.9,11.4,0.435,2.1,6.3,0.339,1.8,2.1,0.855,0.561,0.529,5.5,2.7,0.284,2.05,13.1,3.9,0.022,0.112,113.6,108.4,5.2,3.2,0.11,104.54,45.7,0.5526315789473684,0.18421052631578946,0.5596803284577254,0.0013196715422746363,0.39714285714285724,0.4896743509771694,43.4
1631114,Jalen Williams,OKC,25.0,33,28.4,0.252,17.1,6.5,13.5,0.484,0.7,2.3,0.299,3.3,3.9,0.837,0.56,0.51,5.5,1.9,0.274,2.87,8.5,4.6,0.029,0.124,118.1,106.4,11.7,6.9,0.135,102.62,53.9,0.17037037037037037,0.28888888888888886,0.578941254194087,-0.018941254194086987,0.39428571428571435,0.4222946772607116,40.5
1630592,Jalen Wilson,BKN,25.0,54,15.9,0.177,6.4,2.0,5.1,0.396,1.0,2.8,0.355,1.3,1.8,0.719,0.536,0.493,0.9,0.7,0.098,1.32,9.3,2.1,0.019,0.122,104.5,115.4,-10.9,-3.6,0.061,98.57,24.1,0.5490196078431373,0.35294117647058826,0.5966718530150659,-0.060671853015065835,0.32571428571428584,0.28351552328041163,30.9
1631288,Jamal Cain,ORL,27.0,40,12.1,0.159,5.4,1.9,3.8,0.487,0.7,1.8,0.384,1.0,1.2,0.848,0.624,0.579,0.7,0.5,0.085,1.53,8.6,2.0,0.055,0.109,118.0,113.5,4.5,1.1,0.081,100.94,15.9,0.4736842105263158,0.3157894736842105,0.5920806128595162,0.03191938714048381,0.5771428571428572,0.5914366731756805,58.3
1627750,Jamal Murray,DEN,29.0,75,35.4,0.269,25.4,8.8,18.1,0.483,3.3,7.5,0.435,4.6,5.2,0.887,0.622,0.573,7.1,2.3,0.298,3.13,7.7,4.4,0.013,0.109,124.4,117.7,6.8,5.8,0.142,99.84,71.8,0.41436464088397784,0.287292817679558,0.5750206086161508,0.04697939138384921,0.5714285714285714,0.6415201780110649,59.9
1642347,Jamal Shead,TOR,23.0,82,22.6,0.149,6.6,2.3,6.1,0.367,1.0,3.2,0.321,1.1,1.4,0.784,0.491,0.45,5.4,1.4,0.306,3.96,10.1,1.7,0.014,0.064,114.1,108.3,5.8,2.8,0.078,100.44,27.6,0.5245901639344263,0.22950819672131148,0.5763127322412126,-0.08531273224121261,0.19714285714285706,0.2015698894062034,19.9
1631123,Jamaree Bouyea,PHX,26.0,46,14.0,0.184,5.7,2.3,5.1,0.458,0.5,1.7,0.295,0.5,0.8,0.686,0.523,0.506,1.8,0.7,0.191,2.73,8.3,1.8,0.026,0.1,106.0,104.6,1.4,0.5,0.103,96.74,21.7,0.33333333333333337,0.15686274509803924,0.5599689231292395,-0.036968923129239495,0.2885714285714287,0.3623419156482983,31.8
201935,James Harden,CLE,36.0,70,34.8,0.279,23.6,7.0,16.0,0.434,3.1,8.2,0.375,6.6,7.5,0.884,0.61,0.529,8.0,3.5,0.347,2.27,11.5,4.8,0.017,0.119,118.8,117.0,1.8,1.4,0.143,98.24,72.8,0.5125,0.46875,0.6079131456564888,0.002086854343511191,0.5371428571428571,0.4922256917945056,51.9
1642364,Jamir Watkins,WAS,24.0,50,20.6,0.148,7.4,2.6,5.9,0.446,0.9,3.2,0.297,1.1,1.6,0.695,0.554,0.525,1.3,0.8,0.089,1.68,9.1,3.9,0.046,0.14,109.4,115.8,-6.4,-3.3,0.069,103.26,23.8,0.5423728813559322,0.2711864406779661,0.5842627299278154,-0.030262729927815313,0.3771428571428572,0.3846440115974754,38.0
