PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,USG_PCT,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,TS_PCT,EFG_PCT,AST,TOV,AST_PCT,AST_TO,TM_TOV_PCT,REB,OREB_PCT,DREB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PLUS_MINUS,PIE,PACE,VOLUME_SCORE,FG3A_RATE,FTA_RATE,EXPECTED_TS,TS_ABOVE_EXPECTED,TS_PCT_SCALED,TS_ABOVE_EXPECTED_SCALED,EFFICIENCY_SCORE,AVG_SHOT_DISTANCE,PCT_PULLUP,PCT_LATE_CLOCK,PCT_MIDRANGE,PCT_RESTRICTED_HARD,PCT_RESTRICTED_EASY,TOTAL_SHOTS_x,SHOT_DIFFICULTY_SCORE,TS_X_DIFFICULTY,TS_X_DIFFICULTY_SCALED,EFFICIENCY_SCORE_SCALED,DIFFICULTY_ADJ_EFFICIENCY,FG_PCT_EARLY_GAME,FG_PCT_LATE_GAME,FG_PCT_CLUTCH,FG_PCT_BLOWOUT,FG_PCT_HOME,FG_PCT_AWAY,FG_PCT_EARLY_CLOCK,FG_PCT_LATE_CLOCK,AVG_REST_DAYS,CLUTCH_ATTEMPTS,TOTAL_SHOTS_y,CLUTCH_VS_BLOWOUT,LATE_VS_EARLY,HOME_AWAY_CONSISTENCY,CLOCK_DISCIPLINE,CONTEXT_SCORE,VS_PLAYER_ID,NET_RATING_IMPACT,OFF_RATING_IMPACT,NET_RATING_ON,NET_RATING_OFF,INDEPENDENCE_SCORE,TRUE_SCORING_IMPACT
1631250,Pete Nance,MIL,26.0,47,15.7,0.132,5.4,2.1,4.1,0.515,1.1,2.5,0.42,0.1,0.2,0.364,0.639,0.644,1.0,0.6,0.092,1.85,9.5,2.7,0.038,0.135,112.2,117.4,-5.2,-1.7,0.078,97.81,14.1,0.6097560975609757,0.048780487804878,0.5430072863011226,0.0959927136988774,0.6199999999999999,0.8045187353484173,69.4,18.066666666666663,0.0,0.0,0.0,0.0666666666666666,0.0,15.0,36.7,0.234513,0.3888105047624574,0.6940000000000001,54.1,0.0,0.6666666666666666,1.0,0.6666666666666666,0.75,0.6363636363636364,0.6666666666666666,,1.2,2.0,15.0,0.3333333333333333,0.6666666666666666,0.8863636363636364,0.0,100.0,1631250,1.2000000000000002,0.9000000000000057,-5.2,-6.4,68.3,65.5
1631212,Peyton Watson,DEN,23.0,54,29.6,0.204,14.6,5.3,10.8,0.491,1.5,3.6,0.411,2.6,3.5,0.73,0.594,0.56,2.1,1.7,0.096,1.19,10.7,4.9,0.033,0.127,123.7,117.6,6.2,3.6,0.087,99.45,45.9,0.3333333333333333,0.324074074074074,0.5897492664320834,0.0042507335679166,0.4914285714285713,0.4994218820377082,49.5,11.40677966101695,0.1807909604519774,0.0112994350282485,0.0819209039548022,0.2175141242937853,0.0508474576271186,354.0,51.9,0.308286,0.5111223483184256,0.495,50.3,0.5260115606936416,0.4347826086956521,0.2962962962962963,0.5466666666666666,0.4919354838709677,0.5130434782608696,0.5043478260869565,0.25,0.980225988700565,27.0,354.0,-0.2503703703703703,-0.0912289519979894,0.978892005610098,0.2543478260869565,45.5,1631212,1.9000000000000004,5.400000000000006,6.2,4.3,77.7,60.1
1630173,Precious Achiuwa,SAC,26.0,73,23.9,0.172,10.1,4.3,8.2,0.528,0.4,1.3,0.278,1.1,1.9,0.554,0.558,0.551,1.4,0.9,0.082,1.55,7.9,6.7,0.098,0.18,110.9,118.1,-7.2,-3.7,0.102,100.39,34.2,0.1585365853658537,0.2317073170731707,0.5768490269386961,-0.018849026938696,0.3885714285714288,0.4226013879439679,40.2,7.489247311827957,0.053763440860215,0.0161290322580645,0.0376344086021505,0.1774193548387097,0.1612903225806451,186.0,31.3,0.174654,0.2895673583075661,0.402,34.6,0.5151515151515151,0.35,0.6666666666666666,0.4339622641509434,0.5267857142857143,0.3918918918918919,0.4722222222222222,0.3333333333333333,1.1129032258064515,3.0,186.0,0.2327044025157232,-0.1651515151515151,0.8651061776061776,0.1388888888888889,61.3,1630173,6.1000000000000005,3.9000000000000057,-7.2,-13.3,75.2,48.9
1629656,Quentin Grimes,PHI,26.0,75,29.4,0.183,13.4,4.5,10.1,0.45,1.7,5.1,0.334,2.7,3.2,0.84,0.585,0.534,3.3,1.8,0.159,1.83,10.8,3.6,0.02,0.096,112.4,112.4,-0.1,0.1,0.092,101.43,43.5,0.504950495049505,0.3168316831683168,0.5894284188298837,-0.0044284188298837,0.4657142857142855,0.4705585189165611,46.8,16.301408450704226,0.2366197183098591,0.0309859154929577,0.0507042253521126,0.1746478873239436,0.0225352112676056,355.0,61.5,0.3597749999999999,0.5964884648224751,0.4679999999999999,53.2,0.4213836477987421,0.5272727272727272,0.5681818181818182,0.5,0.4463276836158192,0.449438202247191,0.4457478005865102,0.5454545454545454,1.1352112676056338,44.0,355.0,0.0681818181818182,0.105889079473985,0.9968894813686282,-0.0997067448680351,63.9,1629656,0.8,-1.5999999999999943,-0.1,-0.9,68.4,62.1
1631245,Quenton Jackson,IND,27.0,49,18.3,0.2,9.1,3.1,6.7,0.47,0.9,2.4,0.356,2.0,2.4,0.824,0.589,0.534,2.9,1.3,0.227,2.26,10.7,2.3,0.03,0.092,109.1,112.9,-3.8,-1.3,0.096,105.34,31.1,0.3582089552238806,0.3582089552238806,0.5965343500853736,-0.0075343500853736,0.4771428571428571,0.4602294432709664,47.0,12.98876404494382,0.2022471910112359,0.0112359550561797,0.1011235955056179,0.2022471910112359,0.0,89.0,57.2,0.336908,0.5585761537249961,0.47,51.4,0.4615384615384615,0.5714285714285714,0.6153846153846154,0.3846153846153846,0.4666666666666667,0.4482758620689655,0.4597701149425287,0.0,1.0449438202247192,13.0,89.0,0.2307692307692307,0.1098901098901098,0.9816091954022989,0.4597701149425287,86.3,1631245,4.9,-0.2000000000000028,-3.8,-8.7,72.4,61.4
1642366,Quinten Post,GSW,26.0,67,17.3,0.183,7.7,2.9,6.6,0.44,1.4,4.1,0.336,0.5,0.6,0.791,0.56,0.546,1.4,0.8,0.116,1.68,9.2,4.0,0.057,0.165,112.4,110.2,2.3,0.9,0.089,101.7,27.0,0.6212121212121212,0.0909090909090909,0.545398013589981,0.014601986410019,0.3942857142857143,0.5338459773694287,45.0,17.89453125,0.1015625,0.015625,0.046875,0.078125,0.05859375,256.0,47.5,0.266,0.4410143329658214,0.45,44.6,0.4427480916030534,0.4285714285714285,0.3157894736842105,0.4421052631578947,0.4485294117647059,0.4333333333333333,0.4342629482071713,0.75,1.04296875,19.0,256.0,-0.1263157894736842,-0.0141766630316249,0.9848039215686276,-0.3157370517928287,42.0,1642366,3.9,-0.2999999999999971,2.3,-1.6,74.0,48.1
1629628,RJ Barrett,TOR,25.0,57,30.3,0.254,19.3,7.0,14.3,0.491,1.7,5.0,0.339,3.5,4.9,0.717,0.585,0.55,3.3,1.7,0.157,1.91,8.1,5.3,0.033,0.141,118.4,113.5,4.9,2.9,0.112,100.88,59.8,0.3496503496503496,0.3426573426573426,0.5877128354995595,-0.0027128354995595,0.4657142857142855,0.4762638576821626,47.0,11.563421828908554,0.103244837758112,0.0088495575221238,0.023598820058997,0.1828908554572271,0.0294985250737463,339.0,41.7,0.243945,0.4044482761479221,0.47,43.7,0.4259259259259259,0.5909090909090909,0.631578947368421,0.5289256198347108,0.5096774193548387,0.483695652173913,0.5,0.3333333333333333,1.1445427728613569,19.0,339.0,0.1026533275337102,0.164983164983165,0.9740182328190744,0.1666666666666666,73.9,1629628,3.5000000000000004,8.100000000000009,4.9,1.4,80.9,67.4
1642853,Rasheer Fleming,PHX,21.0,55,12.2,0.159,4.3,1.6,3.9,0.405,0.8,2.4,0.346,0.3,0.6,0.559,0.517,0.509,0.3,0.5,0.033,0.55,10.5,2.3,0.08,0.099,112.7,106.6,6.1,1.8,0.056,96.98,16.4,0.6153846153846154,0.1538461538461538,0.5600994313927313,-0.0430994313927313,0.2714285714285716,0.3419543157979716,30.0,15.365079365079366,0.0476190476190476,0.0,0.0476190476190476,0.0952380952380952,0.0952380952380952,63.0,38.6,0.199562,0.3308635425388167,0.3,31.5,0.32,0.3793103448275862,,0.3414634146341463,0.4230769230769231,0.2702702702702703,0.3333333333333333,,1.0,0.0,63.0,0.0,0.0593103448275861,0.8471933471933473,0.0,53.5,1642853,6.0,-0.8999999999999915,6.1,0.1,77.8,36.4
1641712,Rayan Rupert,MEM,21.0,64,16.8,0.148,5.2,1.9,4.9,0.393,0.7,2.1,0.324,0.7,0.8,0.778,0.493,0.463,1.1,0.9,0.093,1.24,12.0,2.9,0.04,0.129,103.5,117.0,-13.6,-5.0,0.055,103.02,20.1,0.4285714285714285,0.1632653061224489,0.5644478376522503,-0.0714478376522502,0.2028571428571428,0.247678941167879,22.1,13.9625,0.2125,0.0125,0.0375,0.125,0.0375,80.0,51.2,0.252416,0.4184927589094014,0.221,32.0,0.3157894736842105,0.4,0.3333333333333333,0.4411764705882353,0.3333333333333333,0.3409090909090909,0.3333333333333333,0.0,0.8625,6.0,80.0,-0.1078431372549019,0.0842105263157895,0.9924242424242424,0.3333333333333333,63.6,1641712,-8.05,-10.599999999999994,-13.8,-5.75,45.3,34.4
1642263,Reed Sheppard,HOU,21.0,82,26.2,0.21,13.5,5.0,11.5,0.43,2.8,7.0,0.394,0.8,1.0,0.802,0.564,0.55,3.4,1.5,0.183,2.25,8.9,2.9,0.012,0.092,115.9,111.6,4.3,3.4,0.102,98.73,44.2,0.6086956521739131,0.0869565217391304,0.5417774698590363,0.0222225301409636,0.4057142857142854,0.5591888346906781,46.7,19.17027027027027,0.3648648648648648,0.027027027027027,0.154054054054054,0.0459459459459459,0.0027027027027027,370.0,75.1,0.4235639999999999,0.7022473493546433,0.467,58.5,0.4585365853658537,0.3,0.3181818181818182,0.4580152671755725,0.4740740740740741,0.4382978723404255,0.4517045454545454,0.5,1.245945945945946,22.0,370.0,-0.1398334489937543,-0.1585365853658537,0.9642237982663516,-0.0482954545454545,40.7,1642263,-1.2999999999999998,1.0,4.3,5.6,69.9,60.3
