PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,USG_PCT,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,TS_PCT,EFG_PCT,AST,TOV,AST_PCT,AST_TO,TM_TOV_PCT,REB,OREB_PCT,DREB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PLUS_MINUS,PIE,PACE,VOLUME_SCORE
1630702,Jaden Hardy,WAS,23.0,57,15.8,0.239,9.2,3.2,7.5,0.424,1.8,4.6,0.397,1.0,1.3,0.733,0.566,0.545,1.0,1.1,0.095,0.94,10.6,1.5,0.017,0.078,112.0,116.4,-4.4,-1.5,0.066,103.45,34.5
1631093,Jaden Ivey,CHI,24.0,37,18.1,0.192,8.5,3.1,6.9,0.445,1.4,3.6,0.373,1.0,1.3,0.809,0.571,0.543,1.8,1.1,0.145,1.66,10.6,2.5,0.034,0.096,110.3,108.2,2.1,0.7,0.091,101.98,27.7
1630183,Jaden McDaniels,MIN,25.0,73,31.7,0.182,14.8,5.7,11.1,0.515,1.4,3.4,0.412,2.0,2.4,0.835,0.611,0.579,2.7,1.8,0.121,1.52,10.8,4.2,0.033,0.094,115.5,112.4,3.1,1.6,0.088,102.0,44.8
1642942,Jahmai Mashack,MEM,23.0,31,21.7,0.156,6.2,2.5,6.3,0.395,0.6,2.4,0.253,0.6,1.1,0.543,0.456,0.444,2.2,1.6,0.141,1.41,14.9,2.6,0.031,0.086,106.2,120.7,-14.5,-6.8,0.041,104.0,23.7
1631170,Jaime Jaquez Jr.,MIA,25.0,75,28.3,0.216,15.4,6.2,12.2,0.507,0.8,2.4,0.317,2.2,2.9,0.769,0.57,0.539,4.7,2.0,0.24,2.32,10.1,5.0,0.042,0.117,114.7,111.9,2.9,1.9,0.113,105.49,49.4
1631222,Jake LaRavia,LAL,24.0,82,25.1,0.138,8.2,2.9,6.4,0.459,1.0,3.0,0.321,1.4,1.9,0.763,0.571,0.533,1.8,1.1,0.093,1.67,10.6,4.0,0.059,0.103,116.1,116.1,0.0,-0.1,0.067,100.51,28.9
1627751,Jakob Poeltl,TOR,30.0,46,25.0,0.15,10.7,4.7,6.7,0.7,0.0,0.0,0.0,1.3,2.1,0.602,0.698,0.7,2.0,1.2,0.111,1.63,11.3,7.0,0.102,0.188,114.7,112.6,2.0,1.0,0.115,100.36,28.1
1628973,Jalen Brunson,NYK,29.0,74,35.0,0.296,26.0,9.3,19.9,0.467,2.6,7.1,0.369,4.8,5.7,0.841,0.58,0.533,6.8,2.4,0.307,2.87,7.5,3.3,0.012,0.083,120.2,114.1,6.1,4.8,0.135,98.25,78.1
1631105,Jalen Duren,DET,22.0,70,28.2,0.231,19.5,7.5,11.5,0.65,0.0,0.0,0.0,4.6,6.1,0.747,0.688,0.65,2.0,1.9,0.104,1.06,10.3,10.5,0.132,0.23,120.0,108.2,11.8,6.9,0.177,100.81,54.6
1630224,Jalen Green,PHX,24.0,32,25.9,0.309,17.8,6.8,16.0,0.422,2.2,7.1,0.313,2.0,2.7,0.747,0.516,0.491,2.8,2.3,0.181,1.26,10.1,3.6,0.017,0.122,114.2,113.5,0.7,1.0,0.106,99.56,61.0
1630552,Jalen Johnson,ATL,24.0,72,35.2,0.264,22.5,8.3,17.1,0.489,1.7,4.7,0.352,4.2,5.3,0.788,0.581,0.537,7.9,3.4,0.325,2.32,11.1,10.3,0.038,0.241,115.5,112.3,3.2,2.6,0.161,103.58,69.6
1629618,Jalen Pickett,DEN,26.0,50,16.1,0.148,5.2,2.0,4.6,0.422,1.0,2.5,0.386,0.3,0.4,0.789,0.541,0.528,2.3,0.7,0.208,3.38,8.8,2.3,0.022,0.107,112.1,112.4,-0.4,0.1,0.084,97.97,17.6
1630188,Jalen Smith,CHI,26.0,53,20.7,0.183,10.2,3.7,7.6,0.483,1.5,4.2,0.373,1.3,1.8,0.742,0.608,0.584,1.2,1.0,0.081,1.23,9.4,6.7,0.085,0.218,116.4,113.0,3.4,1.6,0.109,103.79,31.1
1630591,Jalen Suggs,ORL,24.0,57,27.6,0.22,13.8,4.9,11.4,0.435,2.1,6.3,0.339,1.8,2.1,0.855,0.561,0.529,5.5,2.7,0.284,2.05,13.1,3.9,0.022,0.112,113.6,108.4,5.2,3.2,0.11,104.54,45.7
1631114,Jalen Williams,OKC,25.0,33,28.4,0.252,17.1,6.5,13.5,0.484,0.7,2.3,0.299,3.3,3.9,0.837,0.56,0.51,5.5,1.9,0.274,2.87,8.5,4.6,0.029,0.124,118.1,106.4,11.7,6.9,0.135,102.62,53.9
1630592,Jalen Wilson,BKN,25.0,54,15.9,0.177,6.4,2.0,5.1,0.396,1.0,2.8,0.355,1.3,1.8,0.719,0.536,0.493,0.9,0.7,0.098,1.32,9.3,2.1,0.019,0.122,104.5,115.4,-10.9,-3.6,0.061,98.57,24.1
1631288,Jamal Cain,ORL,27.0,40,12.1,0.159,5.4,1.9,3.8,0.487,0.7,1.8,0.384,1.0,1.2,0.848,0.624,0.579,0.7,0.5,0.085,1.53,8.6,2.0,0.055,0.109,118.0,113.5,4.5,1.1,0.081,100.94,15.9
1627750,Jamal Murray,DEN,29.0,75,35.4,0.269,25.4,8.8,18.1,0.483,3.3,7.5,0.435,4.6,5.2,0.887,0.622,0.573,7.1,2.3,0.298,3.13,7.7,4.4,0.013,0.109,124.4,117.7,6.8,5.8,0.142,99.84,71.8
1642347,Jamal Shead,TOR,23.0,82,22.6,0.149,6.6,2.3,6.1,0.367,1.0,3.2,0.321,1.1,1.4,0.784,0.491,0.45,5.4,1.4,0.306,3.96,10.1,1.7,0.014,0.064,114.1,108.3,5.8,2.8,0.078,100.44,27.6
1631123,Jamaree Bouyea,PHX,26.0,46,14.0,0.184,5.7,2.3,5.1,0.458,0.5,1.7,0.295,0.5,0.8,0.686,0.523,0.506,1.8,0.7,0.191,2.73,8.3,1.8,0.026,0.1,106.0,104.6,1.4,0.5,0.103,96.74,21.7
201935,James Harden,CLE,36.0,70,34.8,0.279,23.6,7.0,16.0,0.434,3.1,8.2,0.375,6.6,7.5,0.884,0.61,0.529,8.0,3.5,0.347,2.27,11.5,4.8,0.017,0.119,118.8,117.0,1.8,1.4,0.143,98.24,72.8
1642364,Jamir Watkins,WAS,24.0,50,20.6,0.148,7.4,2.6,5.9,0.446,0.9,3.2,0.297,1.1,1.6,0.695,0.554,0.525,1.3,0.8,0.089,1.68,9.1,3.9,0.046,0.14,109.4,115.8,-6.4,-3.3,0.069,103.26,23.8
1641716,Jarace Walker,IND,22.0,76,25.7,0.2,11.6,4.0,9.6,0.419,1.8,4.7,0.374,1.8,2.4,0.749,0.543,0.51,2.5,1.8,0.143,1.38,12.1,5.1,0.023,0.17,106.5,117.6,-11.1,-6.0,0.09,104.46,41.6
1642272,Jared McCain,OKC,22.0,67,17.3,0.198,8.3,3.0,7.2,0.425,1.5,3.8,0.385,0.8,0.9,0.864,0.551,0.528,1.3,0.8,0.111,1.61,8.6,2.0,0.019,0.092,113.5,108.9,4.6,1.9,0.079,102.61,30.2
1628991,Jaren Jackson Jr.,UTA,26.0,48,30.3,0.253,19.4,7.1,15.0,0.476,1.8,4.9,0.357,3.4,4.2,0.803,0.576,0.534,2.0,2.2,0.105,0.88,10.6,5.7,0.027,0.14,108.7,110.8,-2.0,-1.3,0.107,103.6,58.9
1629020,Jarred Vanderbilt,LAL,27.0,65,17.3,0.119,4.4,1.7,3.7,0.471,0.4,1.5,0.293,0.5,0.9,0.589,0.544,0.531,1.3,0.9,0.098,1.5,13.8,4.5,0.073,0.194,113.9,113.7,0.2,0.1,0.08,100.41,15.4
1628386,Jarrett Allen,CLE,28.0,56,27.1,0.196,15.4,6.0,9.4,0.638,0.0,0.2,0.1,3.3,4.7,0.709,0.669,0.639,1.8,1.3,0.092,1.33,9.1,8.5,0.097,0.202,119.3,112.9,6.4,3.8,0.143,102.56,43.5
1642914,Javon Small,MEM,23.0,41,20.2,0.183,9.7,3.3,7.0,0.465,1.5,3.5,0.423,1.7,2.0,0.829,0.611,0.569,3.7,1.4,0.257,2.7,10.6,3.1,0.04,0.109,111.7,117.4,-5.7,-2.6,0.109,104.37,29.3
1629750,Javonte Green,DET,32.0,82,17.6,0.143,6.9,2.3,5.0,0.447,1.1,3.0,0.381,1.3,1.5,0.84,0.607,0.56,0.7,0.5,0.052,1.24,7.9,2.8,0.042,0.112,113.0,105.4,7.6,2.6,0.095,102.74,22.6
1629637,Jaxson Hayes,LAL,25.0,66,18.3,0.124,7.5,3.0,4.0,0.756,0.0,0.0,1.0,1.5,2.3,0.653,0.758,0.761,0.9,0.5,0.071,1.9,7.4,4.1,0.083,0.139,115.5,113.1,2.4,1.1,0.109,100.49,19.2
1630643,Jay Huff,IND,28.0,82,21.0,0.178,9.5,3.5,7.5,0.476,1.5,4.5,0.319,1.0,1.2,0.828,0.598,0.574,1.5,0.9,0.105,1.59,9.0,4.0,0.041,0.135,107.4,113.7,-6.3,-3.1,0.092,102.99,31.9
1627759,Jaylen Brown,BOS,29.0,71,34.4,0.351,28.7,10.4,21.7,0.477,2.0,5.7,0.347,6.0,7.5,0.795,0.573,0.522,5.1,3.6,0.251,1.41,10.8,6.9,0.032,0.155,119.5,113.0,6.5,4.5,0.152,97.73,89.5
1641740,Jaylen Clark,MIN,24.0,68,13.1,0.126,4.0,1.5,3.4,0.434,0.5,1.5,0.327,0.6,1.0,0.657,0.534,0.507,0.6,0.3,0.064,1.87,7.1,1.8,0.056,0.069,113.0,108.9,4.1,1.1,0.054,103.47,13.8
1642377,Jaylen Wells,MEM,22.0,69,26.4,0.189,12.5,4.4,10.1,0.431,1.9,5.3,0.353,1.9,2.5,0.784,0.559,0.524,1.6,1.1,0.085,1.5,7.8,3.2,0.031,0.086,113.4,117.8,-4.4,-2.6,0.069,102.14,41.0
1631119,Jaylin Williams,OKC,23.0,65,19.7,0.153,7.2,2.3,5.4,0.423,1.5,3.9,0.383,1.1,1.4,0.793,0.597,0.563,2.4,1.0,0.169,2.36,10.9,5.5,0.025,0.225,114.6,103.1,11.5,4.7,0.115,102.17,24.1
1642281,Jaylon Tyson,CLE,23.0,66,26.9,0.189,13.2,5.0,10.2,0.493,2.0,4.5,0.446,1.2,1.6,0.738,0.608,0.592,2.2,1.5,0.115,1.48,10.3,5.1,0.064,0.118,117.0,113.4,3.6,1.7,0.092,101.39,39.8
203924,Jerami Grant,POR,32.0,57,29.7,0.228,18.6,5.8,12.8,0.453,2.4,6.1,0.389,4.6,5.6,0.814,0.608,0.547,2.1,2.1,0.107,1.03,10.8,3.5,0.03,0.082,114.9,115.2,-0.3,-0.1,0.094,104.02,55.2
1642847,Jeremiah Fears,NOP,19.0,82,25.8,0.245,14.3,5.3,12.3,0.434,1.2,3.7,0.33,2.4,3.0,0.789,0.525,0.485,3.4,2.2,0.195,1.57,11.3,3.7,0.026,0.109,111.8,118.2,-6.4,-3.5,0.093,102.98,52.4
1630526,Jeremiah Robinson-Earl,DAL,25.0,22,16.4,0.129,4.6,1.7,4.5,0.37,0.5,1.9,0.244,0.8,0.8,0.944,0.468,0.42,0.7,0.5,0.057,1.25,9.0,4.7,0.088,0.183,109.3,119.5,-10.2,-3.9,0.069,104.82,13.6
1630579,Jericho Sims,MIL,27.0,67,19.7,0.095,5.0,2.2,2.8,0.784,0.0,0.0,0.0,0.7,1.1,0.62,0.772,0.784,1.6,1.1,0.109,1.39,19.0,5.5,0.115,0.171,110.3,120.3,-10.1,-4.1,0.083,97.72,13.0
1641724,Jett Howard,ORL,22.0,55,12.6,0.166,5.5,1.9,4.6,0.418,1.0,2.6,0.372,0.7,0.7,0.949,0.561,0.526,0.8,0.3,0.095,3.0,4.6,1.6,0.03,0.096,112.6,118.1,-5.5,-1.3,0.07,100.55,18.6
1628975,Jevon Carter,ORL,30.0,53,16.4,0.166,6.4,2.3,5.8,0.401,1.5,4.1,0.363,0.3,0.4,0.789,0.537,0.528,1.6,0.7,0.148,2.42,8.2,1.7,0.015,0.085,110.0,115.6,-5.7,-1.6,0.074,101.62,21.9
202710,Jimmy Butler III,GSW,36.0,38,31.1,0.226,20.0,6.3,12.2,0.519,0.8,2.2,0.376,6.5,7.6,0.864,0.646,0.554,4.9,1.6,0.24,3.08,7.2,5.6,0.073,0.101,116.6,109.2,7.3,4.9,0.155,101.73,56.3
1629111,Jock Landale,ATL,30.0,68,22.1,0.177,10.6,4.1,8.1,0.515,1.1,2.8,0.383,1.2,1.9,0.635,0.595,0.582,1.7,0.9,0.11,1.92,7.7,5.7,0.111,0.136,114.6,116.8,-2.2,-0.8,0.098,101.83,33.2
203954,Joel Embiid,PHI,32.0,38,31.6,0.336,26.9,9.0,18.3,0.489,1.4,4.2,0.333,7.5,8.8,0.854,0.605,0.527,3.9,2.9,0.209,1.38,9.9,7.7,0.063,0.169,119.1,113.2,5.8,4.1,0.163,100.69,80.5
1628381,John Collins,LAC,28.0,69,27.1,0.188,13.6,5.3,9.6,0.552,1.3,3.2,0.406,1.7,2.2,0.766,0.643,0.62,1.0,1.4,0.058,0.74,10.7,5.3,0.061,0.135,113.9,115.1,-1.2,-0.6,0.098,97.98,40.1
1629723,John Konchar,UTA,30.0,56,19.9,0.09,4.4,1.7,3.6,0.472,0.5,1.8,0.283,0.6,0.8,0.727,0.568,0.543,2.1,0.6,0.136,3.37,9.4,4.3,0.059,0.14,106.1,112.0,-5.9,-2.6,0.09,105.42,12.3
1642277,Johnny Furphy,IND,21.0,35,18.4,0.125,5.1,2.0,4.3,0.47,0.7,2.0,0.324,0.5,1.0,0.486,0.547,0.547,1.2,0.8,0.085,1.41,12.4,4.4,0.049,0.191,110.1,114.8,-4.6,-1.7,0.066,102.22,15.3
202685,Jonas Valančiūnas,DEN,34.0,65,13.4,0.26,8.7,3.5,6.0,0.582,0.1,0.4,0.308,1.6,2.1,0.772,0.63,0.592,1.2,1.1,0.15,1.07,12.1,5.1,0.124,0.246,114.6,116.6,-2.0,-0.7,0.15,97.23,35.4
1630228,Jonathan Kuminga,ATL,23.0,36,23.1,0.226,12.2,4.4,9.4,0.463,1.0,2.9,0.333,2.5,3.4,0.724,0.557,0.515,2.3,1.9,0.148,1.24,12.3,5.6,0.056,0.182,112.0,108.0,4.1,2.0,0.111,102.73,41.3
203903,Jordan Clarkson,NYK,33.0,72,17.8,0.203,8.6,3.3,7.3,0.451,1.0,3.0,0.327,1.1,1.3,0.83,0.548,0.517,1.3,0.9,0.11,1.52,8.7,1.8,0.047,0.049,115.4,111.7,3.7,1.5,0.068,98.78,32.2
1630692,Jordan Goodwin,PHX,27.0,70,22.5,0.167,8.7,3.3,7.9,0.413,1.6,4.3,0.371,0.6,0.8,0.696,0.525,0.514,2.2,1.0,0.136,2.22,8.5,4.9,0.08,0.134,113.4,110.1,3.3,1.3,0.098,99.3,30.5
1641722,Jordan Hawkins,NOP,24.0,51,13.6,0.175,5.1,1.8,5.0,0.366,0.9,2.6,0.348,0.5,0.5,0.852,0.48,0.457,0.8,0.7,0.086,1.24,9.9,1.7,0.026,0.089,107.0,116.8,-9.8,-2.6,0.055,103.84,20.2
1641757,Jordan Miller,LAC,26.0,60,22.1,0.177,10.0,3.5,6.7,0.531,0.6,1.8,0.345,2.3,2.9,0.777,0.628,0.579,2.3,1.1,0.157,2.16,9.3,3.0,0.041,0.097,114.3,114.7,-0.4,-0.2,0.106,98.57,32.1
1629673,Jordan Poole,NOP,26.0,39,23.9,0.235,13.4,4.2,11.4,0.372,2.5,7.4,0.333,2.5,2.9,0.86,0.53,0.48,3.1,1.8,0.185,1.72,10.2,2.0,0.009,0.067,109.4,117.3,-7.9,-3.7,0.073,104.18,45.2
1641775,Jordan Walsh,BOS,22.0,68,17.8,0.114,5.4,2.0,3.9,0.509,0.7,1.8,0.384,0.6,0.8,0.772,0.623,0.599,0.8,0.5,0.059,1.54,9.2,4.0,0.069,0.146,117.9,112.8,5.1,1.4,0.08,95.8,15.4
1630631,Jose Alvarado,NYK,28.0,69,19.9,0.167,7.4,2.7,6.5,0.416,1.5,4.2,0.352,0.5,0.7,0.761,0.543,0.529,3.4,1.1,0.244,3.04,9.9,2.5,0.018,0.1,112.0,110.7,1.3,0.3,0.088,99.57,26.7
1630581,Josh Giddey,CHI,23.0,54,32.1,0.238,17.0,5.9,13.3,0.448,1.9,5.2,0.364,3.2,4.2,0.763,0.562,0.52,9.1,3.6,0.41,2.52,13.0,8.3,0.037,0.201,112.1,117.1,-5.0,-3.5,0.142,104.46,56.1
1630182,Josh Green,CHA,25.0,58,15.7,0.104,4.3,1.4,3.1,0.459,1.0,2.4,0.42,0.4,0.5,0.893,0.644,0.619,0.8,0.6,0.069,1.34,12.8,1.8,0.048,0.06,118.5,106.0,12.5,3.6,0.059,98.23,10.6
1628404,Josh Hart,NYK,31.0,66,30.2,0.163,12.0,4.6,9.0,0.508,1.5,3.7,0.413,1.4,1.9,0.72,0.612,0.593,4.8,1.9,0.212,2.48,11.8,7.4,0.047,0.2,118.0,112.5,5.5,3.2,0.118,98.97,37.3
1631169,Josh Minott,BKN,23.0,49,17.0,0.162,7.4,2.6,5.1,0.5,1.3,3.1,0.418,1.0,1.2,0.787,0.653,0.627,0.9,0.9,0.083,1.07,11.8,3.2,0.055,0.128,111.7,111.7,-0.1,-0.5,0.104,98.94,21.6
1629006,Josh Okogie,HOU,27.0,78,17.4,0.112,4.5,1.6,3.8,0.425,0.8,2.1,0.385,0.5,0.9,0.594,0.544,0.531,0.9,0.5,0.065,1.68,9.4,2.6,0.059,0.085,115.4,109.9,5.6,0.9,0.056,98.25,15.8
201950,Jrue Holiday,POR,35.0,53,29.4,0.227,16.3,6.0,13.4,0.451,2.6,6.8,0.378,1.7,2.0,0.838,0.573,0.548,6.1,2.8,0.302,2.21,12.0,4.6,0.042,0.108,114.6,108.6,6.1,3.7,0.124,103.5,50.0
1630577,Julian Champagnie,SAS,24.0,82,27.6,0.146,11.1,3.7,8.4,0.437,2.4,6.2,0.381,1.4,1.6,0.844,0.609,0.578,1.5,0.8,0.071,1.84,7.4,5.8,0.032,0.161,120.4,108.0,12.4,7.2,0.091,102.55,33.7
1631124,Julian Strawther,DEN,24.0,57,15.1,0.187,7.2,2.6,5.6,0.467,1.0,2.6,0.387,1.0,1.2,0.814,0.59,0.558,1.1,0.6,0.101,1.69,8.1,2.0,0.014,0.112,115.0,113.5,1.5,0.4,0.082,101.86,24.9
203944,Julius Randle,MIN,31.0,79,33.0,0.258,21.1,7.3,15.3,0.481,1.4,4.4,0.315,5.0,6.3,0.802,0.585,0.526,5.0,2.7,0.227,1.83,10.7,6.7,0.05,0.146,117.0,113.1,4.0,2.9,0.128,102.3,67.1
1630551,Justin Champagnie,WAS,24.0,69,20.0,0.161,8.7,3.4,6.7,0.502,0.8,2.4,0.319,1.2,1.5,0.784,0.589,0.56,1.2,0.7,0.087,1.87,7.1,5.6,0.098,0.171,110.0,119.4,-9.4,-4.3,0.106,103.51,27.6
